iter	Passed	Remaining
0	187	187075
1	194	96938
2	200	66640
3	207	51625
4	213	42457
5	219	36303
6	225	31953
7	231	28735
8	239	26372
9	245	24333
10	253	22828
11	259	21403
12	265	20157
13	271	19095
14	276	18159
15	282	17350
16	287	16630
17	293	16014
18	298	15435
19	304	14906
20	310	14465
21	316	14051
22	321	13653
23	325	13248
24	330	12881
25	333	12497
26	335	12100
27	337	11732
28	340	11384
29	342	11060
30	343	10751
31	345	10457
32	347	10194
33	349	9928
34	350	9677
35	352	9444
36	354	9215
37	355	9001
38	357	8799
39	358	8607
40	360	8428
41	361	8254
42	363	8090
43	364	7930
44	366	7780
45	368	7639
46	370	7504
47	371	7371
48	373	7244
49	375	7126
50	376	7012
51	378	6902
52	380	6797
53	382	6693
54	384	6598
55	385	6501
56	387	6415
57	389	6329
58	391	6243
59	393	6163
60	394	6076
61	396	5996
62	398	5920
63	399	5846
64	401	5776
65	403	5712
66	405	5648
67	407	5583
68	409	5519
69	410	5457
70	412	5395
71	414	5336
72	415	5279
73	417	5224
74	419	5168
75	420	5114
76	422	5062
77	423	5010
78	425	4961
79	427	4911
80	428	4864
81	430	4822
82	431	4769
83	433	4727
84	435	4685
85	437	4644
86	438	4603
87	440	4562
88	441	4523
89	443	4486
90	445	4448
91	447	4411
92	448	4375
93	450	4340
94	451	4304
95	453	4270
96	455	4236
97	456	4204
98	458	4171
99	460	4140
100	461	4109
101	463	4079
102	465	4050
103	466	4020
104	468	3991
105	469	3962
106	471	3936
107	473	3911
108	475	3883
109	476	3857
110	478	3832
111	480	3806
112	481	3781
113	483	3758
114	485	3737
115	487	3713
116	488	3687
117	490	3666
118	492	3643
119	493	3622
120	495	3600
121	497	3577
122	498	3556
123	500	3537
124	502	3516
125	504	3496
126	505	3474
127	507	3455
128	508	3435
129	510	3415
130	512	3396
131	513	3378
132	515	3359
133	517	3341
134	518	3323
135	520	3305
136	521	3287
137	523	3270
138	525	3253
139	526	3235
140	528	3219
141	529	3199
142	531	3184
143	533	3168
